seal_name,seal_path,seal_interpretation,processed_name,processed_path,image_name,image_path,front_page,type,property
47_27.jpg,@/assets/data/Seals/47_27.jpg,葉夢龍鑒藏,47-16-葉夢龍鑒藏.jpg,@/assets/data/Processed/47-16-葉夢龍鑒藏.jpg,47.jpg,@/assets/data/Images/47.jpg,47.jpg,baiwen,collection
47_28.jpg,@/assets/data/Seals/47_28.jpg,老濤,47-01-老濤.jpg,@/assets/data/Processed/47-01-老濤.jpg,47.jpg,@/assets/data/Images/47.jpg,47.jpg,zhuwen,personal
47_29.jpg,@/assets/data/Seals/47_29.jpg,端谿何叔子瑗玉號蘧盦過眼經籍金石書畫印記,47-09-端谿何叔子瑗玉號蘧盦過眼經籍金石書畫印記.jpg,@/assets/data/Processed/47-09-端谿何叔子瑗玉號蘧盦過眼經籍金石書畫印記.jpg,47.jpg,@/assets/data/Images/47.jpg,47.jpg,zhuwen,collection
47_30.jpg,@/assets/data/Seals/47_30.jpg,聽帆樓書畫印,47-10-聽帆樓書畫印.jpg,@/assets/data/Processed/47-10-聽帆樓書畫印.jpg,47.jpg,@/assets/data/Images/47.jpg,47.jpg,zhuwen,collection
47_31.jpg,@/assets/data/Seals/47_31.jpg,夢龍之印,47-11-夢龍之印.jpg,@/assets/data/Processed/47-11-夢龍之印.jpg,47.jpg,@/assets/data/Images/47.jpg,47.jpg,baiwen,collection
47_32.jpg,@/assets/data/Seals/47_32.jpg,雲谷曾藏識者寳之,47-14-雲谷曾藏識者寳之.jpg,@/assets/data/Processed/47-14-雲谷曾藏識者寳之.jpg,47.jpg,@/assets/data/Images/47.jpg,47.jpg,zhuwen,collection
47_33.jpg,@/assets/data/Seals/47_33.jpg,逸軒珍藏,47-12-逸軒珍藏.jpg,@/assets/data/Processed/47-12-逸軒珍藏.jpg,47.jpg,@/assets/data/Images/47.jpg,47.jpg,zhuwen,collection
47_34.jpg,@/assets/data/Seals/47_34.jpg,詒晉齋印,47-17-詒晉齋印.jpg,@/assets/data/Processed/47-17-詒晉齋印.jpg,47.jpg,@/assets/data/Images/47.jpg,47.jpg,baiwen,collection
47_35.jpg,@/assets/data/Seals/47_35.jpg,懷昊,47-13-懷昊.jpg,@/assets/data/Processed/47-13-懷昊.jpg,47.jpg,@/assets/data/Images/47.jpg,47.jpg,baiwen,collection
47_36.jpg,@/assets/data/Seals/47_36.jpg,高陽李氏考藏,47-06-高陽李氏考藏.jpg,@/assets/data/Processed/47-06-高陽李氏考藏.jpg,47.jpg,@/assets/data/Images/47.jpg,47.jpg,zhuwen,collection
47_37.jpg,@/assets/data/Seals/47_37.jpg,秀松堂鑒藏印,47-07-秀松堂鑒藏印.jpg,@/assets/data/Processed/47-07-秀松堂鑒藏印.jpg,47.jpg,@/assets/data/Images/47.jpg,47.jpg,zhuwen,collection
47_38.jpg,@/assets/data/Seals/47_38.jpg,符曾經眼,47-08-符曾經眼.jpg,@/assets/data/Processed/47-08-符曾經眼.jpg,47.jpg,@/assets/data/Images/47.jpg,47.jpg,zhuwen,collection
48(1)_0.jpg,@/assets/data/Seals/48(1)_0.jpg,前有龍眠濟,48-09-前有龍眠濟.jpg,@/assets/data/Processed/48-09-前有龍眠濟.jpg,48(1).jpg,@/assets/data/Images/48(1).jpg,48(1).jpg,baiwen,personal
48(1)_1.jpg,@/assets/data/Seals/48(1)_1.jpg,頭白依然不識字,48-08-頭白依然不識字.jpg,@/assets/data/Processed/48-08-頭白依然不識字.jpg,48(1).jpg,@/assets/data/Images/48(1).jpg,48(1).jpg,baiwen,personal
48(1)_2.jpg,@/assets/data/Seals/48(1)_2.jpg,農髯,48-18-農髯.jpg,@/assets/data/Processed/48-18-農髯.jpg,48(1).jpg,@/assets/data/Images/48(1).jpg,48(1).jpg,zhuwen,collection
48(1)_3.jpg,@/assets/data/Seals/48(1)_3.jpg,虚齋審定,48-15-虚齋審定.jpg,@/assets/data/Processed/48-15-虚齋審定.jpg,48(1).jpg,@/assets/data/Images/48(1).jpg,48(1).jpg,zhuwen,collection
48(1)_4.jpg,@/assets/data/Seals/48(1)_4.jpg,釋元濟印,48-10-釋元濟印.jpg,@/assets/data/Processed/48-10-釋元濟印.jpg,48(1).jpg,@/assets/data/Images/48(1).jpg,48(1).jpg,baiwen,personal
48(1)_5.jpg,@/assets/data/Seals/48(1)_5.jpg,冰雪悟前身,48-11-冰雪悟前身.jpg,@/assets/data/Processed/48-11-冰雪悟前身.jpg,48(1).jpg,@/assets/data/Images/48(1).jpg,48(1).jpg,baiwen,collection
48(1)_6.jpg,@/assets/data/Seals/48(1)_6.jpg,藏之名山,48-12-藏之名山.jpg,@/assets/data/Processed/48-12-藏之名山.jpg,48(1).jpg,@/assets/data/Images/48(1).jpg,48(1).jpg,baiwen,collection
48(1)_7.jpg,@/assets/data/Seals/48(1)_7.jpg,佩裳寶藏,48-16-佩裳寶藏.jpg,@/assets/data/Processed/48-16-佩裳寶藏.jpg,48(1).jpg,@/assets/data/Images/48(1).jpg,48(1).jpg,baiwen,collection
48(1)_8.jpg,@/assets/data/Seals/48(1)_8.jpg,佩裳平生真賞,48-17-佩裳平生真賞.jpg,@/assets/data/Processed/48-17-佩裳平生真賞.jpg,48(1).jpg,@/assets/data/Images/48(1).jpg,48(1).jpg,zhuwen,collection
48(1)_9.jpg,@/assets/data/Seals/48(1)_9.jpg,苦瓜和尚濟畫法,48-07-苦瓜和尚濟畫法.jpg,@/assets/data/Processed/48-07-苦瓜和尚濟畫法.jpg,48(1).jpg,@/assets/data/Images/48(1).jpg,48(1).jpg,baiwen,personal
48(2)_0.jpg,@/assets/data/Seals/48(2)_0.jpg,四百峰中箬笠翁圖書,48-02-四百峰中箬笠翁圖書.jpg,@/assets/data/Processed/48-02-四百峰中箬笠翁圖書.jpg,48(2).jpg,@/assets/data/Images/48(2).jpg,48(1).jpg,baiwen,collection
48(2)_1.jpg,@/assets/data/Seals/48(2)_1.jpg,清湘石濤,48-06-清湘石濤.jpg,@/assets/data/Processed/48-06-清湘石濤.jpg,48(2).jpg,@/assets/data/Images/48(2).jpg,48(1).jpg,baiwen,personal
48(2)_2.jpg,@/assets/data/Seals/48(2)_2.jpg,瞎尊者,48-05-瞎尊者.jpg,@/assets/data/Processed/48-05-瞎尊者.jpg,48(2).jpg,@/assets/data/Images/48(2).jpg,48(1).jpg,zhuwen,personal
48(2)_3.jpg,@/assets/data/Seals/48(2)_3.jpg,膏肓子濟,48-04-膏肓子濟.jpg,@/assets/data/Processed/48-04-膏肓子濟.jpg,48(2).jpg,@/assets/data/Images/48(2).jpg,48(1).jpg,baiwen,personal
